ID,Description
79,"B.C. needs to increase its number of homes by roughly a quarter more than is forecast for the housing market to be affordable in 2030, according to projections by the Canadian Mortgage and Housing Corporation (CMHC).

Currently, British Columbians pay about 60 per cent of their disposable income on housing on average, according to a CMHC report released Thursday (June 23). The CMHC projects the total number of homes in the province will increase to 2.64 million in 2030 if existing trends do not change.

This means new construction needs to increase by at least 570,000 more units than projected in order for British Columbians to pay 44 per cent of their disposable income on housing on average. Alternatively, new construction needs to increase by at least 620,000 more units than projected for residents to pay 40 per cent of their disposable income on average.

Shane Styles, president of Epic Real Estate Solutions in the Okanagan, said it is high demand that causes unaffordability, so government recognition that a supply increase is needed is welcome.

“Canada is an incredibly desirable place to live. British Columbia — and I would not even say arguably — is the most desirable province in our glorious nation. There is a lot of demand, it is outstripping supply,” he said. “I do not believe that demand is going to go down.”

Styles sees the problem in Kelowna, which has an effectively zero per cent (0.6 per cent) vacancy rate, he said.

One point from the report stood out to Styles. CMHC’s goal is for everyone to afford a home that “meets their needs.” This language signals more choice is a priority. B.C. will need to increase the number and variety of units available to provide affordable options in renting, co-op housing, subsidized housing and home owning.

Styles said the biggest barriers to new units are at the municipal level. Communities need to accelerate the approval process for projects that fit existing plans and pave the way for denser housing. Also, when they make or revise plans, they need to leave some room to be flexible.

Meanwhile, on the national front, CMHC forecasts roughly 18.5 million homes in 2030 if existing trends do not change. To level the housing market in each province so homes cost 40 per cent of a household’s disposable income on average, this number would need to rise to almost 21 million units in 2030.

CMHC’s projections assume the number of households and their incomes will rise as interest rates fall. Interest rates are currently on the rise as the central bank tries to slow inflation. Styles said he is not concerned, because rates are still significantly lower than homebuyers experienced during the previous century.

If the supply can be increased, the renters who are priced out of the housing market will have more affordable options and will be able to make their bid for home-ownership."
80,"Some of the Greater Toronto Area’s (GTA) most exclusive luxury neighbourhoods shine brightest in the summertime, in all of their tree-lined, manicured lawn, and swimming pool-filled glory. 

From Forest Hill and Rosedale, to The Kingsway, the warmer weather makes these breezy neighbourhoods even more picture-perfect, adding to the curb appeal of their sprawling homes. 


But is the summertime the right time to list your home on the luxury market in the GTA? It can be — but there are a few important considerations to take into account.

“Summer is always a slower time for luxury real estate in the city,” says Andy Taylor, Senior Vice President of Sales at Sotheby’s International Realty Canada. “For many, this is the season to get away to the cottage. Especially after the pandemic, more and more people have cottages that they’re escaping to on the weekends, instead of staying in the city to list their home.”

A lot of the higher-end luxury inventory has been kept off the market during the summer months, says Taylor. “Instead of posting it to the Multiple Listing Service (MLS), agents are selling luxury homes as exclusives,” he says. “Although there are transactions happening in the luxury market, they’re not being captured by MLS. This summer in particular, we will continue to see transactions, but the volume of transactions will slow down.”

Sotheby’s currently has a handful of multi-million-dollar properties — including The Residences at the Ritz Carlton, 125 Cumberland, and a $10.75 million property in Rosedale — that are all exclusive listings. 

When it comes to buyer trends, Taylor says that those in the market for a luxury listing are seeking specialty properties that are finished and require little planning or work. “Homebuyers don’t want to work on renovations, especially in the summer, as they’re looking to travel or go to the cottage,” says Taylor. “Recently, there have been a lot of delays when working with contractors, so buyers aren’t able to get their finishings done as quickly as anticipated. Properties that require a lot of work are sitting, whereas homes that show exceptionally well are getting offers and are selling a decent price point.”

In addition to completed properties, the GTA’s luxury home seekers have their eyes out for amenities. “For the luxury homebuyer, they want a unique property that has already been completed and comes with high-level amenities,” says Jodi Allen, Senior Vice President of Sales at Sotheby’s International Realty Canada. “For instance, high-quality finishes, nice layouts, room for an office, a gym, and high ceilings are all on the luxury buyer’s wish list. Right now, a lot of buyers have also been asking about pools. Travel has been hectic lately and buyers are looking to stay in Toronto or travel to the cottage, so having a pool is key for the summertime staycation.”

Taylor and Allen highlight how the spring weather brought a shift in the Canadian real estate market. After a red-hot and often record-breaking run, GTA home prices finally started to soften as of late and the market has dialled back the drama.

“The media has been focusing on the slowdown of the market, which has impacted buyers as they’re taking their time to make decisions and there’s much less urgency than what was seen from March to May,” says Taylor. “Properties aren’t being offered with an offer date, instead they’re being marketed with what the agents are feeling is the true value of the property. For sellers, their expectations of price haven’t changed, whereas buyers are expecting a price decrease.”

Sellers are starting to realize that properties have to be priced properly in order to sell, according to Taylor. “If sellers are planning to test the market with a high price point, they shouldn’t bother listing,” says Taylor. “For buyers, under-pricing and holding back on an offer is also not working well, so the majority of agents are no longer taking this approach. Currently, pricing properties accurately is very important to both parties.”

Allen agrees that the biggest mistake sellers are making right now is in the price department. “Right now, you can’t play aggressive and throw a high price on a property just to test the market,” she says, driving the point home. “Instead, sellers need to price their property where it shows value.”

For those looking for a luxury Toronto property, the pickings are slim in some of the most coveted neighbourhoods.
“We’re actually seeing a lack of inventory in neighbourhoods like Rosedale, The Annex, and Yorkville, but in Lawrence Park there’s been an increase,” says Allen. “The downtown area — which mostly consists of luxury condos — had also been quiet recently, but is now just starting to pick up again. As the shock and awe of interest rate hikes begin to cool down, we should see the showings come back to reflect a traditional summer market in these key neighbourhoods.”

For those considering selling their luxury property in the summer months, Allen says that the most important thing to remember is that you don’t want the listing to go stale.

“In the summer, sometimes it’s best to keep a listing exclusive which puts pressure on the agents to work harder, make calls, and build the awareness of property,” says Allen. “We’re still not sure what the fall market will look like, so some would say that it’s best to list a home during the summer, even though it’s slower. For most of our GTA listings, we’re keeping them exclusive before putting them on MLS in September.”

Allen also advises sellers to ensure that the listing looks like a model showroom and reflects the amenities that are important in the summertime. “For example, sellers should make sure that the outside of their home is staged, the gardens have been taken care of, the barbeque has been cleaned, and the deck furniture is set up,” she says. “People tend to visit the outside of a home first before going outside, so it’s important that the exterior is a good representation of the property.”

Finally, Allen says that it’s important that the pictures of the listing reflect the season. “At Sotheby’s International Realty Canada, we make sure that all photos and videos of our listings are up-to-date, which gives the buyer a real insight into what the property currently looks like,” says Allen."
81,"The average property rental price in the Greater Toronto Area in May saw the largest single-month hike in the past three years, as potential homebuyers back away from rising interest rates, reducing rental supply, a recent report says.
The report, co-authored by Bullpen Research & Consulting and TorontoRentals.com, shows the average monthly rental rate in the GTA surged by 5.7 percent in May. Average rent also saw a 16.5 percent year-over-year increase, from $1,998 in May 2021 to $2,327 in May 2022, which is fast approaching the pre-COVID-19 level of $2,365 in May 2019.
“In a quest to fight off inflation, central banks across the world are increasing interest rates, and as a consequence, in the GTA, resale house prices are softening. In the short-term that is dissuading some would-be buyers from exiting the rental market, reducing rental supply,” the report said.
“This reduced supply coupled with increased demand via immigration, more students, and recent graduates moving out of their parents’ homes have contributed to the rapid rise in rental rates.”
However, as higher rates threaten to push the country into a recession and flatten out the resale prices, prospective buyers are eyeing to leave the rental market when the housing market hits the bottom, the report said.
Breaking it down by housing type, condo apartments led the surge in rental rate, moving from $2,106 per month in May 2021 to $2,623 per month in May 2022, which is an annual increase of 25 percent.
Single-family homes had an average monthly rental rate of $3,233 per month in May 2022, rising from $2,870 per month in May 2021, which represents an annual increase of 12 percent. Rental apartment rents saw an annual increase of 10 percent, rising from $1,898 per month in May 2021 to $2,092 per month this year.
Overall, the change in listing compositions has contributed to rents being lower in 2022 compared to 2019, with single-family homes, condo apartments, and rental apartments having higher rents in May 2022 than in May 2019, the report said.
In addition, as a growing number of super-small condos hits the market, rental rates for this size range are not increasing as quickly, with units from 700 square feet to 1,000 square feet growing at about 15 percent to 16 percent annually, the report said.
Rental rates are climbing at a slightly different pace across municipalities in the GTA.
The fastest growth was seen in the pre-amalgamated area of the City of Toronto, which saw nearly 20 percent annual growth.
The most desirable neighbourhoods prior to the pandemic are experiencing the highest rent growth in 2022, at 15 percent to 20 percent annually, whereas the less desirable communities, or what is known as “outer-416,” saw a more modest annual rent inflation at 5 percent to 10 percent, the report said.
In May, Toronto had the highest average monthly rent for condos and apartments at $2,438 a month, and it also had the highest annual rent increase of 19.8 percent. Burlington and Etobicoke followed closely with average monthly rents of $2,233 and $2,263 per month respectively. Burlington had an annual rent increase of 18.3 percent and Etobicoke at 17 percent.
Coming next in line in annual change in average monthly rent for condos and apartments were Mississauga at $2,224, up 12.9 percent; Oshawa at $1,807, up 12.4 percent; York at $2,083, up 12.2 percent; Oakville at $2,299, up 11.2 percent; North York at $2,102, up 10.2 percent; and East York at $1,898, up 8 percent.
Vaughan was the only city that saw a decline in annual average rental price change for condo and apartment rentals, with a 6.6 percent decrease to $2,072 per month."
82,"A Chronicle analysis of Redfin data finds that sales have slowed in recent months, returning closer to what has served as “normal” in past years.

One Realtor told us that houses that would’ve ordinarily drawn more than 20 offers are now getting just three. Price drops are becoming more common among listings, and homes are selling closer to their asking price.

With the prospect of a recession, potential buyers likely are growing increasingly hesitant to put down the cash for a home right now.

• San Francisco housing development is slow and showing no signs of speeding up. The city is currently on pace to see fewer than 3,000 new homes this year.

Bear market

The recent ups and downs of the stock market have Bay Area workers worried about the fate of their retirement plans.

The top-trending local query on Google during one recent week was, ""What to do with 401(k) during recession."" That same week, Bay Area searches for ""Should I stop contributing to my 401(k)"" quadrupled.

Don’t do anything rash, financial experts said.

But if you’re itching to do something, consider putting more money into your retirement fund as index fund prices drop.

What to eat

Lovers of the McDonald’s Egg McMuffin will want to ditch the Golden Arches after trying Hash N Dash, a South Bay pop-up. Chronicle associate food critic Cesar Hernandez describes it as if a “McMuffin and Oklahoma City-style fried onion burger had an affair in San Jose.” If that hasn’t sold you, maybe the promise of crispy sausage or smoky pork belly will.

In the East Bay, a vintner is turning traditional wine on its head. At Free Range Flower Winery, winemaker Aaliyah Nitoto has swapped grapes out for California-grown flowers like lavender, marigold, hibiscus and rose. The result tastes nothing like soap or essential oils, but don’t expect it to taste like your traditional Chardonnay.

Around the Bay

• State water woes: Who wins and who loses in California’s water crisis? We analyzed the data to see where water is heading as contractors request supplies.

• Train tragedy: Officials released the names of three people who were killed in a weekend Amtrak crash in Contra Costa County.

• Homelessness crisis: San Francisco’s nighttime sweeps of homeless encampments in the Mission District are rankling local Latino advocates. They're proposing a pilot program called El Proyecto Dignidad to connect them with more resources.

• Crime news: An on-duty San Francisco police officer was booked on suspicion of theft, fraud and forgery, the fourth active or retired officer arrested this year.

• By the line: A constitutional law professor dissected the Roe v. Wade opinion. Here’s what you need to know.

• Food or friend? A dramatic underwater photo from the Monterey Bay Aquarium shows starfish eating a dead sea lion.

• NextSF: What if we could stop people from becoming homeless before they lose their housing?

• Stars and stripes: If you’re looking for a place to celebrate the Fourth of July, Datebook has a running list of block parties, festivals and official fireworks displays.

Cha-ching

That’s the sound of direct deposits and debit cards landing in the hands of most Californians.

Under a budget deal announced by Gov. Gavin Newsom and state officials, inflation relief is heading to residents, with stimulus payments ranging from $200 to $350 per person.

The catch? These payments will not start until October, and legislators said it’s likely the rollout will continue into early 2023."
83,"It doesn’t matter if you’re in the market for a home right now or not — everyone’s talking about rising interest rates. The Federal Reserve raised its rate three-quarters of a percentage point in June, the biggest increase in nearly 30 years, and after two years of a red-hot housing market, there are signs everywhere that home buying may finally slow.

Real estate experts are starting to see Bay Area home buyers drop out of the market entirely, fewer people turn out for open houses, homes sitting on the market for more than a few weeks, and even — gasp — the return of some contingencies. Plus, rates are expected to continue climbing. 

Many of these consequences of rising interest rates, especially when coupled with high inflation, aren’t exactly surprising. What might surprise some Bay Area residents though, is the impact all of this could have on the rental market.

“​​When we look at the price of renting versus the price of a mortgage [in the Bay Area] this is the largest divide we see across the country. It’s almost three times more expensive to pay for a mortgage than to rent, so we’ll likely see rent rise as a result,” Nicole Bachaud, an economist with Zillow, said.

If a seller can’t sell their home, they may decide to rent their property while they wait for it to sell, in addition to having to rent themselves, since in the Bay Area it’s rare to live in your home while it’s on the market. Moreover, those who were in the market to buy are now back in the rental market, perhaps looking to upgrade their space since they weren’t able to buy. 

While the Bay Area may be the only place in the country where rents have not surpassed pre-pandemic levels, that’s unlikely to last in the current environment.

Bachaud said interest rate hikes are more likely to hit first-time home buyers in the region harder than they would in the rest of the country, forcing many out of the market entirely. “When you look at the typical home value in San Francisco at $1.5 million, that’s up significantly, about 30%, since before the pandemic. When you also couple the interest rate hikes with that, you’re looking at thousands of dollars more a month in a mortgage than even just a year ago,” Bachaud said. “Using that example and looking at a 3% interest rate versus a 6% interest rate, that’s more than a $2,000 difference. That’s more than most people’s mortgages across the country.” 

Redfin agent Andrea Chopp said while so many buyers have been priced out of the market, she thinks it’s actually a great time to buy — if you can afford it. “A lot of [homes] are just sitting now. There’s no competition. Where there might have been competition a few months ago, now you have interest rates, high gas prices, inflation and people have just stopped,” Chopp said. “Buyers right now have the most power they’ve had since I’ve been doing this.”

It’s still the Bay Area, though. “For the buyers still in the market, they’ll see less competition and they can take a little more time to make decisions … but it's not necessarily going to be a buyer's market because we’re still going to have homes that are still unaffordable for most folks,” Bachaud said. 

While inventory has increased across the Bay Area in recent months, rising interest rates could continue to make inventory a challenge, as those homeowners who locked in at a low rate are less likely to list their homes since they won’t be able to buy something at the same rate. “That’ll keep prices high for the foreseeable future,” Bachaud said. 

Chopp, an agent since 2015, said some of her sellers are considering renting their properties given how long it’s taking to get an offer. She said sellers have had to adjust their expectations and be prepared for a lower price than they were anticipating and even accept contingencies. “Now all of a sudden three weeks on the market and sellers are freaking out. That’s normal in the rest of the country,” Chopp said. “Contingencies were impossible before.” 

Listings with a price cut have risen to 8% up from 5% in April in San Francisco, according to recent Zillow data. “Sellers may have been a little too ambitious given the changing tides we’re seeing,” Bachaud said.

There is typically a slight summer slowdown in the housing market, but the past few weeks have been jarring. “It's like it just stopped. Buyers have completely disappeared,” Chopp said. “Since I've been doing this, it's never been this slow.”

But we’re likely still in the midst of a transition, and experts say to look at pending sales data, which is cooling, according to a recent Compass report. Even with all this volatility, the Bay Area is a wealthy region and there are plenty of buyers paying with cash for whom mortgage rates don’t matter.

Bachaud said that it’s important to remember how differently housing markets like San Francisco and New York operate from the rest of the country. “In the rest of the country we’ve seen record-high home price appreciation, but in the Bay Area we didn't get even near the peak appreciation we saw in 2013,” she said. “As fast as the area was growing recently, it’s had faster periods of acceleration.”"
84,"According to new research from LendingTree, home prices have risen significantly over the past two years, and paying $1 million or more for a house seems excessive as well as unattainable to most Americans. However, just because million-dollar homes aren’t common throughout the U.S. doesn’t mean they aren’t prevalent in some areas.

To see where million-dollar houses are most common, LendingTree analyzed data from the U.S. Census Bureau’s 2020 American Community Survey to look at the share of million-dollar homes in each of the nation’s 50 largest metropolitan areas. While million-dollar homes aren’t prevalent in most of the nation’s largest metros, they do make up a large share of homes in some notoriously high-cost areas like San Jose and San Francisco, California.

Key findings

Million-dollar homes are relatively uncommon in most of the country. An average of only 4.71% of the owner-occupied homes in the nation’s 50 largest metros are valued at $1 million or more.
The prevalence of million-dollar homes can vary significantly by metro. For example, 52.89% of owner-occupied homes are valued at $1 million or more in San Jose, California, making it the only one of the nation’s 50 largest metros where a majority of owner-occupied homes are worth at least $1 million. In the metro with the smallest share of $1 million homes, Buffalo, New York, that figure is 0.56%.
Of the 10 metros with the largest share of million-dollar homes, the four with the highest percentage of million-dollar homes are in California. Driven by factors including dense populations and the significant wealth generated by the tech and entertainment industries, an average of 31.33% of owner-occupied homes across San Jose, San Francisco, Los Angeles and San Diego are valued at at least $1 million.
Buffalo, N.Y., Cleveland and Pittsburgh have the smallest share of homes valued at $1 million or more. An average of only 0.61% of owner-occupied homes in these generally affordable metros are worth $1 million or more.
Metros with the highest share of million-dollar homes

1. San Jose, Calif.

Number of owner-occupied housing units: 370,241
Number of owner-occupied units valued at $1 million or more: 195,822
Percentage of owner-occupied units valued at $1 million or more: 52.89% 
Median value of owner-occupied housing units: $1,041,800

2. San Francisco

Number of owner-occupied housing units: 935,620
Number of owner-occupied units valued at $1 million or more: 377,736
Percentage of owner-occupied units valued at $1 million or more: 40.37%
Median value of owner-occupied housing units: $888,500

3. Los Angeles

Number of owner-occupied housing units: 2,129,700
Number of owner-occupied units valued at $1 million or more: 395,035
Percentage of owner-occupied units valued at $1 million or more: 18.55%
Median value of owner-occupied housing units: $641,300

Metros with the lowest share of million-dollar homes

1. Buffalo, New York

Number of owner-occupied housing units: 319,246
Number of owner-occupied units valued at $1 million or more: 1,802
Percentage of owner-occupied units valued at $1 million or more: 0.56%
Median value of owner-occupied housing units: $155,800

2. Cleveland

Number of owner-occupied housing units: 563,145
Number of owner-occupied units valued at $1 million or more: 3,297
Percentage of owner-occupied units valued at $1 million or more: 0.59%
Median value of owner-occupied housing units: $156,200

3. Pittsburgh

Number of owner-occupied housing units: 708,073
Number of owner-occupied units valued at $1 million or more: 4,736
Percentage of owner-occupied units valued at $1 million or more: 0.67%
Median value of owner-occupied housing units: $159,800

Since the start of the year, mortgage rates have risen drastically. These higher rates have made buying homes more expensive, even in areas where home prices haven’t necessarily increased.

With that said, because different lenders can offer different rates to the same person, it’s often possible for borrowers to find a lower rate on their mortgage by shopping around for a lender before buying.

A recent LendingTree study found that the spread between the highest and lowest APRs offered to borrowers across the nation’s 50 largest metros who received offers from three or more lenders was 82 basis points. To put that spread into perspective, the study found that those borrowers could have saved an average of more than $63,000 over the lifetime of their mortgages by choosing the lowest rate offered to them.
Though these savings aren’t exclusive to those looking to buy million-dollar homes, higher-cost borrowers are likely to see larger savings the lower the rate they get. As a result, if you’re planning on buying in a high-cost area, one of the best ways you can save money is by shopping for a mortgage before buying."
85,"June 28, 2022 -- For the third straight month median rents in Santa Monica rose by less than 1 percent in June, mirroring a slowing growth trend across the LA region.

Apartment List's monthly report released Tuesday found that rents in Santa Monica rose by 0.7 percent in June, after seeing a 0.8 percent increase in May and a 0.1 percent increase in April.

Currently, median rents in Santa Monica stand at $2,047 for a one-bedroom apartment and $2,551 for a two-bedroom, according to the report.

Santa Monica's 9.1 percent rent growth over the past year has failed to make up for the steep price drop during the coronavirus shutdown, leaving rents 2 percent below pre-pandemic levels, the report found.

It also is a slower rate of growth than the State average of 13.5 percent over the past year and the 14.1 percent average increase nationwide.

The nation's average 1.3 percent increase in June ""is continuing to pace ahead of pre-pandemic trends, even as it cools substantially from last summer’s peak,"" Apartment List researchers wrote.

Still there are signs the rental market will pick up some steam during the busy summer rental season, researchers said.

""While the apartment market has shown some signs of easing, our 5 percent vacancy index remains well below the pre-pandemic norm, and increased pressure in the for-sale market could translate to the rental market as well.

""Despite a recent cool-down, many American renters are likely to remain burdened throughout 2022 by historically high housing costs,"" the report predicts.

In larger communities across the Metro LA region rents remained relatively flat, ranging from an 0.4 percent drop in West Hollywood to an increase of 1.7 percent in Marina del Rey.

Rents in Marina del Rey are now by far the highest in the region, with a one-bedroom apartment going for a median rent of $4,240 and $4,920 for a two bedroom.

Year-over-year rent growth in Marina del Rey stands at 18.1 percent, double the 9.1 percent for Santa Monica.

Irvine, Huntington Beach, Costa Mesa, Newport Beach and West Hollywood all had higher monthly rents than Santa Monica.

In June, 97 of the nation’s 100 largest cities saw rents increase, according to the report, which is based on listings posted on the popular rental site.

""New York City has seen the nation’s fastest city-level rent growth over the past year, while some of the hottest Sun Belt markets are finally showing signs of plateauing growth,"" the report found.

Rents in once red-hot Seattle and San Jose have seen only modest growth during the pandemic.

Meanwhile, pricey coastal metros, including San Francisco; Washington, D.C., and Los Angeles, have ""consistently been sluggish compared to the national average.""

The San Francisco metro area is now the only region where the median rent is still below its pre-pandemic level, although by only 1 percent.

Apartment List Rent Report data is drawn monthly from the millions of listings on the site, according to the website.

The report calculates one-bedroom and two-bedroom rents and aims to identify transacted rent prices, as opposed to the listed rent prices."
86,"House Method released a study this month that found the Tampa Bay area is the hottest housing market in the country.

“The housing market has exploded in recent years due to fluctuating mortgage rates, high demand accompanied by low inventory, as well as remote working opportunities allowing millions to rethink their home base. Americans have begun to rethink their priorities in a living space, many prioritizing space and comfort while others have flocked to bustling metropolises, leading to an exponential increase in home ownership,” House Method noted. “We analyzed data on the 100 largest MSA’s (Metropolitan Statistical Areas) and ranked them according to seven factors, such as affordability, inventory and population growth.”

Some of the key findings of the study include:

Home prices increased by an average of 21 percent since 2021

The top 10 markets rarely have listings sit on the market for more than 15 days, 40 percent less than the national average (25 days).

Many of the hottest housing markets are also some of the least affordable as demand increases and inventory decreases

Home equity has skyrocketed, allowing sellers to make huge profits

Home prices are projected to increase another 14.9 percent before 2023, even with steep mortgage rate increases

The Tampa-St. Petersburg-Clearwater area led the list followed by the Phoenix-Mesa-Scottsdale region in Arizona; the Austin-Round Rock region in Texas; the Seattle-Tacoma-Bellevue area in Washington; the San Jose-Sunnyvale-Santa Clara market in California; Raleigh, North Carolina; the Charlotte-Concord-Gastonia area in the Carolinas; the Cape Coral-Fort Myers area in Southwest Florida; the Las Vegas-Henderson-Paradise market in Nevada; and Salt Lake City, Utah.

Other parts of the Sunshine State also made the list. The Lakeland-Winter Haven area ranked 12th on the list. The Orlando-Kissimmee-Sanford market placed 18th. The North Port-Sarasota-Bradenton area placed 28th with the Deltona-Daytona Beach-Ormond Beach market right behind it in 29th and Jacksonville at its heels in 30th. The Miami-Fort Lauderdale-West Palm Beach market placed 39th. The Palm Bay-Melbourne-Titusville area ranked 94th."
87,"Having dropped 3.9 percent in April to a near decade low, the National Association of Realtors Pending Home Sales Index, a seasonally adjusted index for which 100 denotes “an average level” of activity, inched back up 0.7 percent in May to 99.9 but was down 13.6 percent on a year-over-year basis.

In the words of NAR’s Chief Economist, “[d]espite the small gain in pending sales from the prior month, the housing market is clearly undergoing a transition,” a “transition” that shouldn’t have caught any plugged-in readers by surprise.

Closer to home, pending sales activity in San Francisco proper has been down an average of over 20 percent over the past month despite a marked increase in inventory."
88,"The National Association of Realtors’ index of pending home sales increased 0.7% from last month to 99.9 according to newly released data, where an index of 100 is equal to the level of contract activity in 2001. This contrasts with the median forecast of a 4% drop made by economists in a Bloomberg survey, and marks the first rise in sales recorded in seven months.

At the median single-family home price, with a 10% down payment, the monthly mortgage payment has increased by around $800 since January, the NAR noted. Meanwhile, mortgage rates are close to hitting their highest levels since 2008, further complicating affordability challenges brought on by high housing prices.

While rising rates are expected to make borrowing costs even more expensive, Federal Reserve Chair Jerome Powell expected this to temper demand for homes, ease price pressures, and flatten home prices “fairly quickly”. The Federal Reserve is currently raising interest rates to cool demand in the economy, including for housing, and tame decades-high inflation.

By region, contract signings in the Northeast and South rose, while those in the Midwest and West declined, NAR said. All four areas were down the year prior.

The pending home sales index is based on contract signings rather than when a contract closes. Sales of previously owned homes fell for a fourth consecutive month in May, receding to the lowest level in almost two years. Compared with a year earlier, contract signings were down by 12% on an unadjusted basis.

“Despite the small gain in pending sales from the prior month, the housing market is clearly undergoing a transition,” NAR’s chief economist Lawrence Yun said in a statement."
89,"Home prices across the United States set a new all-time record for price appreciation, rising at an annualized rate of 18.0 percent in May 2022 from April 2022, according to homegenius Home Price Index (HPI) data released today by homegenius Real Estate LLC, a Radian Group Inc. company (NYSE: RDN). The company believes the homegenius HPI (formerly Radian HPI) is the most comprehensive and timely measure of U.S. housing market prices and conditions available in the market today.

The homegenius HPI also rose 16.3 percent year-over-year (May 2021 to May 2022), a modest jump over the year-over-year increase of 15.7 percent recorded last month, both represented all-time records. The homegenius HPI is calculated based on the estimated values of more than 70 million unique addresses each month, covering all single-family property types and geographies.

“Despite increasing headwinds, home prices in the U.S. set new records once again in May,” said Steve Gaenzler, SVP of Products, Data and Analytics. “While home prices have been increasing at record paces, there are reasons to expect slowing appreciation rates in some or all of the country later this year. Historically, the rate of home price appreciation has been inversely correlated to mortgage interest rates; the higher the mortgage rate, the slower price appreciation occurs, and vice versa. Since January 2022, the average 30-year fixed rate mortgage has surged by 285 basis points, the largest increase over six months since 1980 and the largest percentage increase in U.S. history. Rising from 3.2 percent at the start of 2022 to 5.78 percent in the latest weekly report, mortgage rates are 80% higher (256 basis points) than just six months ago. Strong home price appreciation combined with rapidly increasing mortgage financing costs is a double whammy for home affordability and consumer confidence,” added Gaenzler.

NATIONAL DATA AND TRENDS

Median estimated home price in the U.S. rose to $325,684
Percentage of lower-priced homes sold fell to lowest on record.
Nationally, the homegenius HPI estimated the median price for single-family and condominium homes rose to $325,684. Across the U.S., home prices nationally rose 15.5 percent over the last three months, much higher than the 13.2 percent reported for the three months from February through April. Home prices remain buoyed by a supply and inventory of homes for sale that continues to decline. While inventory of homes for sale rose by six percent in May from the prior month, supply was five percent lower than May 2021 and is 35 percent lower than the average of the month of May in 2017-2020.

The mix of homes sold by price band provides valuable information on what is driving home price growth. In May, only 23.3 percent of homes sold cost less than $250,000, the lowest recorded percentage for that category and roughly half of the 43.9 percent tally from just two years ago. In contrast, 34.6 percent of homes sold in May cost more than $500,000, which is more than 4.0 times larger than the 8.2 percent share recorded a decade earlier (May 2012). This shift towards higher-priced homes has a beneficial impact on the growth rate of indices that only measure home prices of sold properties (i.e., repeat sales and median sales price indices). The homegenius HPI measures the change in value to all properties based on the entire housing stock, not the mix of homes that happen to transact in a given month.

In May, the number of homes that were sold increased from the prior month by 2.6 percent. Over the first five months of 2022, the aggregate count of home sales nationally was 5 percent lower than the first five months of 2021. However, sales were five percent higher than the average of the same 5 months (Jan-May) in each of the prior four years (2017-2020).

REGIONAL DATA AND TRENDS

All U.S. Regions appreciated at a faster rate in May
South records 11th straight month as strongest region
In May, home price appreciation rose from the prior month in all regions. After finding a recent low in appreciation rates in February or March of this year, the homegenius HPI has seen stable growth in home prices broadly across geographies. The South (+21.5%), Mid-Atlantic (+17.4%), and Southwest (+17.3%) recorded the strongest month-over-month annualized gains. The South region has been the strongest region for eleven consecutive months, and fourteen of the last nineteen months.

All six regions recorded actual 12-month price appreciation rates between 13.0 and 21.5 percent, signaling a robust market in all parts of the U.S, although with wide disparity in performance. The result of the continued strong gains in home prices equates to record levels of homeowner equity. In aggregate, the rise in home values over the past year equates to more than $6.5 trillion dollars of new equity for homeowners.

METROPOLITAN AREA DATA AND TRENDS

Tampa Bay, FL leads all metro areas in appreciation rate
Slightly slower appreciation the norm in most, larger metropolitan areas
While all regions continued to report strong price appreciation rates in May 2022, only three metropolitan areas (Philadelphia, PA, Baltimore, MD, St. Louis, MO) recorded faster price appreciation when compared to the prior month (April 2022). Four metros (Tampa, FL, Atlanta, GA, Miami, FL, Dallas, TX) have reported three straight months of annualized one-month appreciation rates in excess of 20 percent. Tampa, FL was the strongest metro area this month (+26.5% annualized 1-month appreciation). While the general regional numbers remain strongly positive, this month’s slower readings in 17 metros (in a month that is typically rising due to seasonal influences) suggest that regional markets across the U.S. may start to show signs of slowing home price appreciation.

The metro areas that reported the largest slowdowns relative to the prior month are all in the West. Three metro areas in particular, San Francisco, CA, Seattle, WA, and San Diego, CA, showed substantial slowdowns in appreciation rates. The average annualized one-month change for each was down more than 45 percent from the prior month’s appreciation rate. Each of them, however, has a 12-month appreciation rate in excess of 10 percent.

In an unusual twist, Tampa, FL went from the weakest of our top metros one year ago to the strongest in May 2022, while San Francisco, the weakest this month, was actually the strongest one year ago."
